Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k)
1.884866799999999785e+02,-8.193599999999999495e-02,2.654195202460016390e+01,1.884866799999999898e-01,-8.193599999999999614e-05,2.911000000000000254e-01,1.726717606230577469e+09,2.797900000000000205e+02,2.799599999999999795e+02
1.880348799999999869e+02,-8.192499999999999782e-02,2.654195202460016390e+01,1.880348799999999876e-01,-8.192499999999999913e-05,2.908999999999999919e-01,1.726717909121141911e+09,2.778899999999999864e+02,2.779399999999999977e+02
1.875645200000000159e+02,-8.167800000000000060e-02,2.654195202460016390e+01,1.875645200000000123e-01,-8.167799999999999963e-05,2.908999999999999919e-01,1.726718211986114025e+09,2.759499999999999886e+02,2.759300000000000068e+02
1.870929500000000019e+02,-8.144099999999999950e-02,2.654195202460016390e+01,1.870929500000000079e-01,-8.144099999999999495e-05,2.912000000000000144e-01,1.726718514805578470e+09,2.739700000000000273e+02,2.739399999999999977e+02
1.866328299999999842e+02,-8.143100000000000338e-02,2.654195202460016390e+01,1.866328299999999996e-01,-8.143100000000000013e-05,2.917000000000000148e-01,1.726718817803049564e+09,2.719200000000000159e+02,2.719700000000000273e+02
1.861714999999999804e+02,-8.095800000000000218e-02,2.654195202460016390e+01,1.861714999999999898e-01,-8.095800000000000652e-05,2.909999999999999809e-01,1.726719120595567465e+09,2.699599999999999795e+02,2.699800000000000182e+02
1.857066199999999867e+02,-8.058199999999998697e-02,2.654195202460016390e+01,1.857066199999999889e-01,-8.058199999999999521e-05,2.908000000000000029e-01,1.726719423407865524e+09,2.680600000000000023e+02,2.680500000000000114e+02
1.852392999999999859e+02,-8.014200000000000490e-02,2.654195202460016390e+01,1.852392999999999956e-01,-8.014200000000000620e-05,2.908000000000000029e-01,1.726719726269779682e+09,2.661200000000000045e+02,2.659100000000000250e+02
1.847720899999999915e+02,-8.013099999999999390e-02,2.654195202460016390e+01,1.847720899999999999e-01,-8.013099999999999563e-05,2.916000000000000258e-01,1.726720029124577761e+09,2.641499999999999773e+02,2.640000000000000000e+02
1.843133899999999983e+02,-8.002299999999999691e-02,2.654195202460016390e+01,1.843133899999999936e-01,-8.002300000000000277e-05,2.902000000000000135e-01,1.726720332024761677e+09,2.621800000000000068e+02,2.620199999999999818e+02
1.838625999999999863e+02,-7.984099999999999531e-02,2.654195202460016390e+01,1.838625999999999872e-01,-7.984099999999999672e-05,2.914999999999999813e-01,1.726720634876190186e+09,2.602799999999999727e+02,2.600099999999999909e+02
1.834168899999999951e+02,-7.956100000000000672e-02,2.654195202460016390e+01,1.834168899999999991e-01,-7.956100000000000617e-05,2.907000000000000139e-01,1.726720937746869326e+09,2.584700000000000273e+02,2.579200000000000159e+02
1.829288799999999924e+02,-7.922799999999999288e-02,2.654195202460016390e+01,1.829288799999999882e-01,-7.922799999999999428e-05,2.904999999999999805e-01,1.726721240644198418e+09,2.564300000000000068e+02,2.559399999999999977e+02
1.824412900000000093e+02,-7.920699999999999963e-02,2.654195202460016390e+01,1.824412900000000060e-01,-7.920700000000000245e-05,2.911000000000000254e-01,1.726721543525498629e+09,2.544000000000000057e+02,2.539699999999999989e+02
1.819486200000000053e+02,-7.880899999999999017e-02,2.654195202460016390e+01,1.819486200000000053e-01,-7.880899999999999711e-05,2.907000000000000139e-01,1.726721846694051504e+09,2.524399999999999977e+02,2.519300000000000068e+02
1.815077700000000220e+02,-7.858400000000000107e-02,2.654195202460016390e+01,1.815077700000000127e-01,-7.858400000000000519e-05,2.921000000000000263e-01,1.726722149896246672e+09,2.504600000000000080e+02,2.500999999999999943e+02
1.810306199999999990e+02,-7.822899999999999299e-02,2.654195202460016390e+01,1.810306200000000032e-01,-7.822899999999999928e-05,2.906000000000000250e-01,1.726722452938630342e+09,2.485900000000000034e+02,2.479099999999999966e+02
1.805330800000000124e+02,-7.792899999999999827e-02,2.654195202460016390e+01,1.805330800000000124e-01,-7.792900000000000554e-05,2.906000000000000250e-01,1.726722759244825125e+09,2.465900000000000034e+02,2.460999999999999943e+02
1.800835099999999898e+02,-7.785300000000000553e-02,2.654195202460016390e+01,1.800835100000000022e-01,-7.785300000000000152e-05,2.913000000000000034e-01,1.726723062157979727e+09,2.446399999999999864e+02,2.440000000000000000e+02
1.795969199999999830e+02,-7.779999999999999416e-02,2.654195202460016390e+01,1.795969199999999932e-01,-7.779999999999999373e-05,2.908999999999999919e-01,1.726723365020873070e+09,2.426800000000000068e+02,2.420399999999999920e+02
1.791439099999999769e+02,-7.727300000000000835e-02,2.654195202460016390e+01,1.791439099999999895e-01,-7.727300000000000369e-05,2.919999999999999818e-01,1.726723667998662949e+09,2.407400000000000091e+02,2.399600000000000080e+02
1.786791299999999865e+02,-7.725200000000000122e-02,2.654195202460016390e+01,1.786791299999999916e-01,-7.725199999999999830e-05,2.903999999999999915e-01,1.726723970854699612e+09,2.389199999999999875e+02,2.378899999999999864e+02
1.781827800000000082e+02,-7.687599999999999989e-02,2.654195202460016390e+01,1.781827800000000128e-01,-7.687600000000000054e-05,2.913000000000000034e-01,1.726724273851082087e+09,2.369499999999999886e+02,2.359499999999999886e+02
1.777057200000000137e+02,-7.667200000000000404e-02,2.654195202460016390e+01,1.777057200000000114e-01,-7.667200000000000046e-05,2.923000000000000043e-01,1.726724576834309816e+09,2.349399999999999977e+02,2.340300000000000011e+02
1.772120399999999734e+02,-7.657500000000000417e-02,2.654195202460016390e+01,1.772120399999999873e-01,-7.657500000000000461e-05,2.911000000000000254e-01,1.726724879732694864e+09,2.329900000000000091e+02,2.319900000000000091e+02
1.767365100000000098e+02,-7.627399999999999458e-02,2.654195202460016390e+01,1.767365100000000133e-01,-7.627399999999999512e-05,2.928000000000000047e-01,1.726725182616874456e+09,2.310000000000000000e+02,2.300399999999999920e+02
1.762421199999999999e+02,-7.592999999999999750e-02,2.654195202460016390e+01,1.762421200000000021e-01,-7.592999999999999977e-05,2.924999999999999822e-01,1.726725485470712423e+09,2.290399999999999920e+02,2.279300000000000068e+02
1.757396099999999990e+02,-7.567300000000000415e-02,2.654195202460016390e+01,1.757396099999999906e-01,-7.567300000000000545e-05,2.922000000000000153e-01,1.726725788330812216e+09,2.270099999999999909e+02,2.259399999999999977e+02
1.752438999999999965e+02,-7.541499999999999593e-02,2.654195202460016390e+01,1.752439000000000080e-01,-7.541499999999999539e-05,2.906000000000000250e-01,1.726726091270866632e+09,2.250900000000000034e+02,2.240099999999999909e+02
1.747506199999999978e+02,-7.509200000000000597e-02,2.654195202460016390e+01,1.747506199999999954e-01,-7.509200000000000542e-05,2.911000000000000254e-01,1.726726394152977705e+09,2.230699999999999932e+02,2.219900000000000091e+02
1.742614000000000090e+02,-7.497399999999999898e-02,2.654195202460016390e+01,1.742614000000000107e-01,-7.497400000000000418e-05,2.914999999999999813e-01,1.726726697029740334e+09,2.210900000000000034e+02,2.200399999999999920e+02
1.737536199999999837e+02,-7.482400000000000162e-02,2.654195202460016390e+01,1.737536199999999975e-01,-7.482400000000000054e-05,2.906000000000000250e-01,1.726726999958905458e+09,2.190900000000000034e+02,2.178799999999999955e+02
1.732589200000000176e+02,-7.422199999999999631e-02,2.654195202460016390e+01,1.732589200000000107e-01,-7.422199999999999512e-05,2.917000000000000148e-01,1.726727302810644150e+09,2.171599999999999966e+02,2.159399999999999977e+02
1.727541799999999910e+02,-7.415800000000000169e-02,2.654195202460016390e+01,1.727541800000000072e-01,-7.415800000000000386e-05,2.921000000000000263e-01,1.726727605677125692e+09,2.151999999999999886e+02,2.140300000000000011e+02
1.722615100000000155e+02,-7.374999999999999611e-02,2.654195202460016390e+01,1.722615100000000066e-01,-7.375000000000000370e-05,2.909999999999999809e-01,1.726727908623806238e+09,2.132400000000000091e+02,2.118899999999999864e+02
1.717598199999999906e+02,-7.350199999999999789e-02,2.654195202460016390e+01,1.717598200000000075e-01,-7.350200000000000201e-05,2.907000000000000139e-01,1.726728211486766338e+09,2.112500000000000000e+02,2.100399999999999920e+02
1.712595399999999870e+02,-7.350199999999999789e-02,2.654195202460016390e+01,1.712595399999999879e-01,-7.350200000000000201e-05,2.913999999999999924e-01,1.726728514280768156e+09,2.092500000000000000e+02,2.080300000000000011e+02
1.707510499999999922e+02,-7.342699999999999227e-02,2.654195202460016390e+01,1.707510499999999876e-01,-7.342700000000000019e-05,2.902000000000000135e-01,1.726728817225330353e+09,2.073100000000000023e+02,2.059600000000000080e+02
1.702384000000000128e+02,-7.273999999999999910e-02,2.654195202460016390e+01,1.702384000000000119e-01,-7.273999999999999813e-05,2.908000000000000029e-01,1.726729120036719322e+09,2.053499999999999943e+02,2.040000000000000000e+02
1.697312300000000107e+02,-7.275000000000000910e-02,2.654195202460016390e+01,1.697312300000000107e-01,-7.275000000000000650e-05,2.916000000000000258e-01,1.726729422983927011e+09,2.033700000000000045e+02,2.020099999999999909e+02
1.692213199999999915e+02,-7.240699999999999914e-02,2.654195202460016390e+01,1.692213200000000084e-01,-7.240699999999999979e-05,2.907000000000000139e-01,1.726729727604499817e+09,2.013700000000000045e+02,1.999099999999999966e+02
1.687089799999999968e+02,-7.208399999999999530e-02,2.654195202460016390e+01,1.687089800000000084e-01,-7.208399999999999628e-05,2.906000000000000250e-01,1.726730030517858505e+09,1.993499999999999943e+02,1.978799999999999955e+02
1.681920700000000011e+02,-7.166499999999999260e-02,2.654195202460016390e+01,1.681920699999999991e-01,-7.166499999999999910e-05,2.908999999999999919e-01,1.726730333322303295e+09,1.974199999999999875e+02,1.959300000000000068e+02
1.676777899999999875e+02,-7.166499999999999260e-02,2.654195202460016390e+01,1.676777899999999932e-01,-7.166499999999999910e-05,2.909999999999999809e-01,1.726730636155541897e+09,1.954600000000000080e+02,1.939099999999999966e+02
1.671608800000000201e+02,-7.094599999999999518e-02,2.654195202460016390e+01,1.671608800000000117e-01,-7.094599999999999464e-05,2.906000000000000250e-01,1.726730939113660574e+09,1.934799999999999898e+02,1.919300000000000068e+02
1.666463099999999997e+02,-7.095600000000000518e-02,2.654195202460016390e+01,1.666463099999999919e-01,-7.095600000000000301e-05,2.922000000000000153e-01,1.726731242000136614e+09,1.914600000000000080e+02,1.899399999999999977e+02
1.661282799999999895e+02,-7.081699999999999107e-02,2.654195202460016390e+01,1.661282799999999893e-01,-7.081699999999999638e-05,2.912000000000000144e-01,1.726731544867134809e+09,1.894900000000000091e+02,1.879099999999999966e+02
1.656053899999999999e+02,-7.047299999999999398e-02,2.654195202460016390e+01,1.656053899999999912e-01,-7.047300000000000103e-05,2.927000000000000157e-01,1.726731847713141680e+09,1.875500000000000114e+02,1.860600000000000023e+02
1.650763100000000065e+02,-6.999999999999999278e-02,2.654195202460016390e+01,1.650763100000000039e-01,-6.999999999999999387e-05,2.923000000000000043e-01,1.726732150536988735e+09,1.855800000000000125e+02,1.839699999999999989e+02
1.645535199999999918e+02,-7.009700000000000653e-02,2.654195202460016390e+01,1.645535200000000087e-01,-7.009700000000000327e-05,2.909999999999999809e-01,1.726732453485838175e+09,1.836200000000000045e+02,1.820300000000000011e+02
1.640289099999999962e+02,-6.975299999999999556e-02,2.654195202460016390e+01,1.640289100000000000e-01,-6.975299999999999437e-05,2.901000000000000245e-01,1.726732756335272551e+09,1.815900000000000034e+02,1.799499999999999886e+02
1.634987199999999916e+02,-6.920500000000000262e-02,2.654195202460016390e+01,1.634987199999999863e-01,-6.920499999999999894e-05,2.913000000000000034e-01,1.726733059297115326e+09,1.796100000000000136e+02,1.779199999999999875e+02
1.629618299999999920e+02,-6.925899999999998724e-02,2.654195202460016390e+01,1.629618300000000020e-01,-6.925899999999999537e-05,2.918000000000000038e-01,1.726733362584322214e+09,1.776200000000000045e+02,1.759000000000000057e+02
1.624226099999999917e+02,-6.891500000000000403e-02,2.654195202460016390e+01,1.624226099999999950e-01,-6.891500000000000002e-05,2.911000000000000254e-01,1.726733667296071768e+09,1.756699999999999875e+02,1.740000000000000000e+02
1.618856200000000172e+02,-6.848599999999999133e-02,2.654195202460016390e+01,1.618856200000000078e-01,-6.848599999999999447e-05,2.904999999999999805e-01,1.726733970231805801e+09,1.736800000000000068e+02,1.719799999999999898e+02
1.613513700000000028e+02,-6.850699999999999845e-02,2.654195202460016390e+01,1.613513699999999940e-01,-6.850699999999999986e-05,2.911000000000000254e-01,1.726734273051809072e+09,1.716899999999999977e+02,1.699600000000000080e+02
1.608128700000000038e+02,-6.823800000000000698e-02,2.654195202460016390e+01,1.608128699999999967e-01,-6.823800000000000633e-05,2.902000000000000135e-01,1.726734575982243299e+09,1.696699999999999875e+02,1.679600000000000080e+02
1.602662400000000105e+02,-6.785199999999999565e-02,2.654195202460016390e+01,1.602662400000000043e-01,-6.785200000000000020e-05,2.918999999999999928e-01,1.726734878959143162e+09,1.677100000000000080e+02,1.660099999999999909e+02
1.597186100000000124e+02,-6.786199999999999177e-02,2.654195202460016390e+01,1.597186100000000109e-01,-6.786199999999999503e-05,2.923000000000000043e-01,1.726735181863626003e+09,1.657400000000000091e+02,1.640200000000000102e+02
1.591730000000000018e+02,-6.717499999999999860e-02,2.654195202460016390e+01,1.591730000000000089e-01,-6.717500000000000652e-05,2.913000000000000034e-01,1.726735484722337008e+09,1.637299999999999898e+02,1.620300000000000011e+02
1.586312499999999943e+02,-6.703499999999999737e-02,2.654195202460016390e+01,1.586312500000000014e-01,-6.703499999999999769e-05,2.923999999999999932e-01,1.726735787669701338e+09,1.617500000000000000e+02,1.599300000000000068e+02
1.580805699999999945e+02,-6.675599999999999590e-02,2.654195202460016390e+01,1.580805700000000036e-01,-6.675599999999999579e-05,2.908000000000000029e-01,1.726736090638806105e+09,1.597299999999999898e+02,1.579799999999999898e+02
1.575212699999999870e+02,-6.634799999999999032e-02,2.654195202460016390e+01,1.575212699999999910e-01,-6.634799999999999563e-05,2.909999999999999809e-01,1.726736393546818733e+09,1.577700000000000102e+02,1.559699999999999989e+02
1.569638700000000142e+02,-6.618699999999999584e-02,2.654195202460016390e+01,1.569638700000000053e-01,-6.618699999999999497e-05,2.914999999999999813e-01,1.726736696497648239e+09,1.558000000000000114e+02,1.539699999999999989e+02
1.564059900000000027e+02,-6.574599999999999889e-02,2.654195202460016390e+01,1.564059899999999947e-01,-6.574600000000000377e-05,2.908000000000000029e-01,1.726737000303338051e+09,1.538000000000000114e+02,1.520000000000000000e+02
1.558454700000000059e+02,-6.577800000000000313e-02,2.654195202460016390e+01,1.558454700000000137e-01,-6.577800000000000617e-05,2.909999999999999809e-01,1.726737303195752859e+09,1.517800000000000011e+02,1.500500000000000114e+02
1.552685299999999984e+02,-6.543499999999999317e-02,2.654195202460016390e+01,1.552685299999999879e-01,-6.543499999999999946e-05,2.911000000000000254e-01,1.726737606118443966e+09,1.497199999999999989e+02,1.476200000000000045e+02
1.547013200000000097e+02,-6.522000000000000020e-02,2.654195202460016390e+01,1.547013200000000033e-01,-6.522000000000000236e-05,2.903999999999999915e-01,1.726737909027832508e+09,1.477400000000000091e+02,1.462599999999999909e+02
1.541296499999999980e+02,-6.460699999999999776e-02,2.654195202460016390e+01,1.541296500000000069e-01,-6.460699999999999993e-05,2.908000000000000029e-01,1.726738211926778555e+09,1.457700000000000102e+02,1.440800000000000125e+02
1.535622299999999996e+02,-6.438199999999999479e-02,2.654195202460016390e+01,1.535622299999999940e-01,-6.438199999999999446e-05,2.903000000000000025e-01,1.726738514853071213e+09,1.437800000000000011e+02,1.420900000000000034e+02
1.529978700000000060e+02,-6.412400000000000044e-02,2.654195202460016390e+01,1.529978700000000080e-01,-6.412399999999999795e-05,2.902000000000000135e-01,1.726738817823532820e+09,1.417899999999999920e+02,1.399699999999999989e+02
1.524309599999999989e+02,-6.388800000000000034e-02,2.654195202460016390e+01,1.524309600000000042e-01,-6.388799999999999547e-05,2.914999999999999813e-01,1.726739120760036707e+09,1.397500000000000000e+02,1.381500000000000057e+02
1.518460000000000036e+02,-6.361899999999999500e-02,2.654195202460016390e+01,1.518460000000000087e-01,-6.361900000000000194e-05,2.903000000000000025e-01,1.726739423744229555e+09,1.378199999999999932e+02,1.359699999999999989e+02
1.512688599999999894e+02,-6.336100000000000065e-02,2.654195202460016390e+01,1.512688600000000050e-01,-6.336100000000000542e-05,2.901000000000000245e-01,1.726739726763771534e+09,1.358499999999999943e+02,1.342299999999999898e+02
1.506811600000000055e+02,-6.307100000000000206e-02,2.654195202460016390e+01,1.506811600000000084e-01,-6.307100000000000651e-05,2.898999999999999910e-01,1.726740031934605360e+09,1.338600000000000136e+02,1.319900000000000091e+02
1.501059400000000039e+02,-6.272699999999999110e-02,2.654195202460016390e+01,1.501059399999999933e-01,-6.272699999999999760e-05,2.916000000000000258e-01,1.726740334939116001e+09,1.318499999999999943e+02,1.299199999999999875e+02
1.495158099999999877e+02,-6.239399999999999807e-02,2.654195202460016390e+01,1.495158099999999990e-01,-6.239399999999999927e-05,2.904999999999999805e-01,1.726740637775698185e+09,1.298300000000000125e+02,1.278900000000000006e+02
1.489163499999999942e+02,-6.194299999999999806e-02,2.654195202460016390e+01,1.489163500000000029e-01,-6.194299999999999969e-05,2.908999999999999919e-01,1.726740940618203402e+09,1.278700000000000045e+02,1.260199999999999960e+02
1.483184200000000033e+02,-6.192199999999999094e-02,2.654195202460016390e+01,1.483184200000000064e-01,-6.192199999999999430e-05,2.907000000000000139e-01,1.726741243429234028e+09,1.258799999999999955e+02,1.239399999999999977e+02
1.477213900000000137e+02,-6.144899999999999668e-02,2.654195202460016390e+01,1.477213900000000080e-01,-6.144900000000000069e-05,2.914999999999999813e-01,1.726741546281567335e+09,1.239000000000000057e+02,1.219800000000000040e+02
1.471304499999999962e+02,-6.117999999999999133e-02,2.654195202460016390e+01,1.471304499999999960e-01,-6.117999999999999361e-05,2.908999999999999919e-01,1.726741849170241833e+09,1.218900000000000006e+02,1.199699999999999989e+02
1.465224599999999953e+02,-6.091200000000000087e-02,2.654195202460016390e+01,1.465224599999999933e-01,-6.091200000000000227e-05,2.903999999999999915e-01,1.726742152318479061e+09,1.198199999999999932e+02,1.180199999999999960e+02
1.459055599999999799e+02,-6.083700000000000219e-02,2.654195202460016390e+01,1.459055599999999897e-01,-6.083700000000000045e-05,2.897000000000000131e-01,1.726742455376626492e+09,1.178599999999999994e+02,1.162000000000000028e+02
1.452851100000000031e+02,-6.027799999999999825e-02,2.654195202460016390e+01,1.452851099999999951e-01,-6.027800000000000123e-05,2.903999999999999915e-01,1.726742758281728983e+09,1.158599999999999994e+02,1.140900000000000034e+02
1.446665900000000136e+02,-6.003100000000000103e-02,2.654195202460016390e+01,1.446665900000000116e-01,-6.003100000000000173e-05,2.911000000000000254e-01,1.726743061278970718e+09,1.138499999999999943e+02,1.119699999999999989e+02
1.440541499999999928e+02,-5.981599999999999417e-02,2.654195202460016390e+01,1.440541499999999919e-01,-5.981599999999999786e-05,2.903000000000000025e-01,1.726743364232478142e+09,1.118199999999999932e+02,1.099899999999999949e+02
1.434188899999999762e+02,-5.954799999999999677e-02,2.654195202460016390e+01,1.434188899999999933e-01,-5.954799999999999975e-05,2.901000000000000245e-01,1.726743667088474274e+09,1.097500000000000000e+02,1.079800000000000040e+02
1.427788600000000088e+02,-5.921499999999999680e-02,2.654195202460016390e+01,1.427788600000000074e-01,-5.921500000000000141e-05,2.894999999999999796e-01,1.726743972486919403e+09,1.077600000000000051e+02,1.060000000000000000e+02
1.421417799999999829e+02,-5.864499999999999574e-02,2.654195202460016390e+01,1.421417799999999954e-01,-5.864499999999999840e-05,2.893999999999999906e-01,1.726744275341149330e+09,1.057600000000000051e+02,1.039899999999999949e+02
1.415113899999999774e+02,-5.853799999999999976e-02,2.654195202460016390e+01,1.415113899999999869e-01,-5.853800000000000095e-05,2.906000000000000250e-01,1.726744578205025434e+09,1.037600000000000051e+02,1.019899999999999949e+02
1.408850600000000099e+02,-5.807599999999999568e-02,2.654195202460016390e+01,1.408850600000000064e-01,-5.807599999999999758e-05,2.898000000000000020e-01,1.726744881048247576e+09,1.017300000000000040e+02,9.998799999999999955e+01
1.402407699999999977e+02,-5.795800000000000257e-02,2.654195202460016390e+01,1.402407699999999868e-01,-5.795800000000000311e-05,2.907000000000000139e-01,1.726745184056290865e+09,9.964300000000000068e+01,9.796500000000000341e+01
1.395906099999999981e+02,-5.760299999999999448e-02,2.654195202460016390e+01,1.395906100000000039e-01,-5.760299999999999720e-05,2.901000000000000245e-01,1.726745486934012413e+09,9.763500000000000512e+01,9.598799999999999955e+01
1.389334499999999935e+02,-5.722700000000000009e-02,2.654195202460016390e+01,1.389334499999999861e-01,-5.722699999999999944e-05,2.892000000000000126e-01,1.726745789764962912e+09,9.557500000000000284e+01,9.398099999999999454e+01
1.382704999999999984e+02,-5.709800000000000292e-02,2.654195202460016390e+01,1.382704999999999906e-01,-5.709800000000000118e-05,2.889999999999999791e-01,1.726746092650369167e+09,9.354200000000000159e+01,9.198099999999999454e+01
1.376203399999999988e+02,-5.674399999999999583e-02,2.654195202460016390e+01,1.376203400000000077e-01,-5.674399999999999746e-05,2.897000000000000131e-01,1.726746395664493561e+09,9.155299999999999727e+01,8.998199999999999932e+01
1.369605399999999804e+02,-5.622799999999999326e-02,2.654195202460016390e+01,1.369605399999999917e-01,-5.622799999999999765e-05,2.898999999999999910e-01,1.726746698726248741e+09,8.951500000000000057e+01,8.799099999999999966e+01
1.363043600000000026e+02,-5.600199999999999623e-02,2.654195202460016390e+01,1.363043600000000133e-01,-5.600199999999999677e-05,2.896000000000000241e-01,1.726747001753849745e+09,8.754900000000000659e+01,8.598600000000000421e+01
1.356458700000000022e+02,-5.570200000000000151e-02,2.654195202460016390e+01,1.356458700000000017e-01,-5.570200000000000303e-05,2.896000000000000241e-01,1.726747304694553137e+09,8.553199999999999648e+01,8.399099999999999966e+01
1.349804000000000030e+02,-5.550799999999999484e-02,2.654195202460016390e+01,1.349804000000000004e-01,-5.550799999999999777e-05,2.896000000000000241e-01,1.726747610182103395e+09,8.354800000000000182e+01,8.198199999999999932e+01
